Date,Gallons,Price / Gallon,Total Cost,Miles,Gas Station,Location,Notes
1/16/2011 16:13,9.334,$3.299,$30.79,210.4,Shell,"210 E Ogden Ave, Hinsdale, IL",
2/8/2011 12:48,13.254,$3.139,$41.60,287.2,Colonial Pantry,"811 W Springfield, Champaign, IL",
2/22/2011 15:28,9.315,$3.159,$29.43,201.8,Colonial Pantry,"811 W Springfield, Champaign, IL",
2/28/2011 22:12,12.506,$3.379,$42.26,,Super Pantry,"810 W Green St, Urbana, IL",
3/23/2011 15:54,13.633,$3.729,$50.84,262.9,Shell,"2301 W Touhy Ave, Park Ridge, IL",
4/9/2011 10:12,9.324,$3.899,$36.35,201.0,Colonial Pantry,"811 W Springfield Ave, Champaign, IL",
4/13/2011 14:09,11.166,$3.889,$43.42,266.9,Speedway,"604 Armour Rd, Bourbonnais, IL",
4/25/2011 10:53,11.596,$4.249,$49.27,258.7,Shell,"2301 W Touhy Ave, Park Ridge, IL",
4/25/2011 20:21,6.515,$3.999,$26.05,160.4,Colonial Pantry,"811 W Springfield, Champaign, IL",
4/27/2011 13:20,9.338,$3.949,$36.88,238.3,Speedway,"604 Armour Rd, Bourbonnais, IL",
5/22/2011 13:04,13.376,$4.199,$56.17,320.2,Citgo,"702 S Washington St, Naperville, IL",
7/8/2011 18:54,12.929,$3.999,$51.70,276.0,Shell,"2301 W Touhy Ave, Park Ridge, IL",
7/10/2011 14:21,11.114,$3.659,$40.67,262.3,Speedway,"604 Armour Rd, Bourbonnais, IL",
8/27/2011 14:14,12.993,$3.999,$51.96,264.2,Shell,"2301 Touhy Ave, Park Ridge, IL",
9/11/2011 5:41,10.647,$3.759,$40.02,237.8,Circle K,"809 W Green St, Urbana, IL",
9/30/2011 12:15,8.429,$3.639,$30.67,191.1,Shell,"2301 W Touhy Ave, Park Ridge, IL",
10/2/2011 12:17,6.379,$3.399,$21.68,162.6,Super Pantry,"810 W Green St, Urbana, IL",
